,title,text,date,year,month
0,Комментарии заместителя директора департамента монетарных операций Национального Банка Ивана Сердюка о текущей ситуации на валютном рынке," Комментарии заместителя директора Департамента монетарных операций Национального Банка Ивана Сердюка о текущей ситуации на валютном рынке   -  После  затяжного  укрепления  тренд  по  тенге  развернулся.  С чем это связано? Основной причиной такой динамики являются рост спроса на валюту и  ограниченность  продавцов  на  рынке.  В  акционерных  обществах состоялись  общие  собрания  акционеров,  мы  видим  спрос  на  доллары  в связи с началом выплаты дивидендов.  Сохраняется привычный спрос на покупку валюты для осуществления импортных операций.  Теперь  что  касается  ограниченности  предложения  иностранной валюты. В конце мая экспортеры реализовывали валютную выручку для выплаты налогов на добычу полезных ископаемых и рентного налога на экспорт во время так называемой «большой налоговой недели». В июне таких  объемов  на  продажу  мы  пока  не  наблюдаем.  Поэтому  всех клиентов-покупателей  банки  направляют  на  биржевые  торги,  встречных потоков внутри нет, что создает дополнительный спрос на валюту.        Тем не менее, необходимо подчеркнуть, что среднедневной объем торгов в июне составляет 95 млн долл. США, что на 18% меньше, чем в мае. Общий объем торгов на текущий момент составляет 1,6 млрд долл. США. То есть, экономическая активность с точки зрения валютного рынка продолжает оставаться на достаточно низких уровнях. В целом динамика тенге соответствует общемировому тренду. Рост доходностей ГЦБ США и глобальное укрепление доллара США оказывали давление  на  валюты  многих  развивающихся  стран.  С  начала  июня динамика  валют  развивающихся  рынков  была  преимущественно негативной:  произошло  ослабление  бразильского  реала  на  10,7%, турецкой лиры – на 5,8%, снижение индонезийской рупии, мексиканского песо и южноафриканского ранда составило порядка 2%.  При этом индекс валют развивающихся стран J.P. Morgan снизился на 2,2%.  -  Рубль  продолжает  покорять  новые  вершины,  курс  рубля  по отношению  к  тенге  превысил  уровень  8  тенге  за  рубль.  Есть  ли  в этом какая-то подоплека? Стремительное укрепление рубля к иностранным валютам, включая доллар  США,  происходит  на  фоне  введенных  мер  контроля  движения капитала  вкупе  с  существенным  сокращением  импорта.  С  начала  июня рубль по отношению к доллару укрепился почти на 15%.  Хотелось  бы  отметить,  что  на  котировку  рубль/тенге  прежде  всего влияет то, как ведут себя индивидуально тенге и рубль по отношению к доллару.  Рубль  продолжает  укрепляться  по  отношению  к  доллару  на мировых рынках, поэтому курс рубль/тенге продолжает расти.     -  Эксперты  называют  одной  из  причин  ослабления  тенге проведение  обратных  интервенций  Национальным  Банком.  Не покупали ли вы валюту на бирже для пополнения резервов? С начала июня Национальный Банк не участвовал на торгах с целью воздействия на обменный курс за счет золотовалютных резервов, то есть не  проводил  интервенции.  Как  уже  стало  традицией,    информацию  по нашим  операциям  на  валютном  рынке  в  июне,  будь  то  золотовалютные активы, Национальный фонд или ЕНПФ, мы опубликуем в первый рабочий день следующего месяца. В  то  же  время  для  осуществления  трансфертов  в  бюджет осуществлялась продажа иностранной валюты от имени Национального фонда, с начала июня объем составил 408 млн долл. США. Отдельно хотели сконцентрировать внимание экспертов на вопросе о плавающем обменном курсе тенге. С марта волатильность курса тенге оценивается в 1,2%, для сравнения волатильность бразильского реала за это  же  время  –  1,2%,  мексиканского  песо  –  0,7%,  из  развитых  рынков: фунта  –  0,7%,  евро  –  0,6%.  Эти  показатели  лишний  раз  демонстрируют приверженность  полноценному режиму свободно плавающего курса, что позволяет  абсорбировать  дисбалансы сохранить золотовалютные активы страны. экономики  и Курсы валют  не следуют  линейно  изменению внешних фундаментальных  факторов.  Внутренние  факторы,  как  видим  в последние перспективе волатильность тенге продолжит зависеть от изменения геополитической обстановки,  ожиданий  внутренних  участников  и  ситуации  на  мировых рынках.        превалируют.  В краткосрочной дни,  ",2022-06-24,2022,6
1,Основные тезисы заместителя Председателя Национального Банка Казахстана Берика Шолпанкулова о перспективах развития цифровой финансовой инфраструктуры и запуске системы мгновенных платежей," Основные тезисы заместителя Председателя Национального Банка Казахстана Берика Шолпанкулова о перспективах развития цифровой финансовой инфраструктуры и запуске системы мгновенных платежей  Об особенностях и целях запуска Системы мгновенных платежей в Казахстане Система  мгновенных  платежей  (СМП)  предназначена  для  быстрого проведения  межбанковских  онлайн-переводов  и  платежей  в  режиме  24/7. Главная  цель  ее  внедрения  –  предоставить  нашим  гражданам  простой  и удобный  канал  для  проведения  межбанковских  переводов  и  платежей  в круглосуточном  режиме  по  упрощенным  реквизитам,  например,  по  номеру телефона.  Сократится  и  время  расчетов  между  клиентами  разных  банков  – теперь они будут занимать всего несколько секунд.  О  возможностях,  которые  предоставляет  банкам  подключение  к сервису СМП Для  банков  это  в  первую  очередь  новые  возможности  по  повышению качества  сервиса.  В  настоящее  время  в  СМП  доступны  переводы  между физическими лицами по номеру телефона. А в дальнейшем будут подключены сервисы межбанковских платежей по QR-коду. Более  глобально,  система  мгновенных  платежей  –  это  только  один  из компонентов выстраиваемой в Казахстане Национальной платежной системы. Мы строим цифровую финансовую инфраструктуру в интересах каждого – она позволит стимулировать конкуренцию, повысить безопасность и удобство, а также,  что  важно,  снизить  стоимость  финансовых  услуг  для  конечных потребителей.    Подобные  системы  успешно  функционируют  во  многих странах мира – всего порядка 60 стран, в том числе Великобритания, страны Евросоюза, Сингапур, Швеция, Россия.   Об открытии банками доступа к сервису СМП Доступ  к  сервису  СМП  для  своих  клиентов  уже  открыли  4  банка. Подключается еще 5 банков. Остальные банки будут подключены к системе по мере  готовности.  По  итогам  подключения банки  будут  уведомлять своих клиентов,  что  сервисы  СМП  стали  доступны  в  официальных  мобильных приложениях.   О целях создания Межбанковской системы платежных карточек  Основной  целью  создания  Межбанковской  системы  платежных карточек  является  развитие  инфраструктуры  для  обработки  карточных транзакций  внутри  страны,  то  есть  их  локализация.  Это  создаст  равные условия  обслуживания  по  карточкам  международных  платежных  систем  в Казахстане  и  позволит  обеспечить  безопасность  и  бесперебойность внутренних карточных расчетов.    О  запуске  в  промышленную  эксплуатацию   Межбанковской системы платежных карточек   Межбанковская  система  платежных  карточек  уже  готова  к  запуску  в промышленную эксплуатацию – он запланирован на 1 июля 2022 года.  Основная  работа  завершена:  разработана  правовая  база,  построена инфраструктура,  заключены  соглашения  с  международными  платежными системами Visa, Mastercard и UnionPay, а банки второго уровня провели работу по  адаптации  своих  систем  и  перенастройке  процессов  взаимодействия  с международными платежными системами. Успешно проведено тестирование на площадке оператора – Казахстанского центра межбанковских расчетов.  О  дальнейшем развитии Национальной платежной системы Национальный  Банк  реализует  и  развивает  свои  проекты,  в  том  числе Национальную платежную систему – именно как инфраструктуру для рынка.  Мы не работаем и не планируем работать напрямую с клиентами – это задача участников рынка. Наша  задача – повысить доступность финансовых услуг  для  казахстанцев,  создав  благоприятные  условия  для  конкуренции  и разработав и регуляторную среду.  технологическую безопасную надежную, удобную,  О  приоритетах  НБК  как  регулятора  при  развитии  цифровых сервисов Равенство всех участников рынка в доступе к цифровой инфраструктуре финансового рынка. Иными словами, мы считаем, что каждый участник рынка должен  иметь  возможность  создавать  финансовые  и  платежные  сервисы  в цифровом формате. Такой подход стимулирует развитие конкуренции и ведет к повышению качества и снижению издержек для всех участников делового оборота. Другой  важный  вопрос  –  безопасность.  В  условиях  активной цифровизации финансовых услуг все большую важность приобретают именно персональные данные и организация доступа к ним. Мы убеждены, что именно гражданин  является  владельцем  собственных  данных  и  должен  иметь возможность  контролировать  доступ  к  ним.  Для  этого  совместно  с  другими государственными  органами  мы  развиваем  инфраструктуру  удаленной цифровой идентификации, сервисы «цифрового согласия» и другие проекты.    О роли цифрового тенге Совместно с рынком мы изучаем и вопрос внедрения цифрового тенге – в перспективе цифровая валюта тоже станет частью Национальной платежной системы.  В  совокупности  с  другими  элементами  инфраструктуры,  это обеспечит бесперебойность и доступность безналичных платежей, в том числе благодаря  возможности  расчетов  без  доступа  к  интернету,  и  откроет  новые возможности  для  инноваций  участникам  рынка  благодаря  технологии  так называемых смарт-контрактов. Этот вопрос сейчас активно изучается вместе с  рынком  и  международными  экспертами,  и  до  конца  года  мы  выработаем итоговое решение.  ",2022-06-21,2022,6
2,Комментарий начальника управления мониторинга реального сектора департамента денежно-кредитной политики НБ РК Игоря Осипова об инфляционных тенденциях в регионах РК в мае 2022 года,"Комментарий  начальника управления мониторинга реального сектора департамента денежно-кредитной политики НБ РК  Игоря Осипова об инфляционных тенденциях в регионах РК в мае 2022 года  16 июня 2022 года  В мае 2022 года годовая инфляция в стране ускорилась, составив 14,0% (в апреле – 13,2%). В разрезе регионов годовая инфляция ускорилась в 15 регионах, замедлилась в 2 областях. Наибольшее ускорение зафиксировано в Мангистауской (с 13,9% в апреле до 15,2% в  мае),  Карагандинской  (с  13,5%  до  14,8%)  и  Западно-Казахстанской  (с  12,2%  до  13,5%) областях. Темпы роста цен на продовольственные товары в мае увеличились до 19,0% г/г (в апреле  –  17,9%).  Максимальный  рост  цен  на  товары  данной  группы  сложился  в Мангистауской  области (21,0%).     Темпы роста цен на непродовольственные товары ускорились до 11,9% г/г (в апреле – 11,1%). Максимальное значение зафиксировано в  г. Нур-Султане (14,3%), а минимальное – в г. Шымкенте (10,2%). Цены на платные услуги в мае повысились на 9,1% г/г (в апреле – 8,9%), при этом значительно выше общереспубликанского уровня цены выросли в Восточно-Казахстанской области (11,4%), значительно ниже – в Жамбылской области (6,3%).   В мае 2022 года месячная инфляция в стране составила 1,4%, что значительно выше среднего значения майской инфляции за последние 5 лет (за 2017-2021 годы – 0,5%).   Во всех 17 регионах цены в мае 2022 года выросли выше своей среднеисторической нормы.  Наибольшее  ускорение  месячной  инфляции  отмечено  в  Мангистауской  области (2,2%).  Подробнее:https://nationalbank.kz/ru/news/inflyacionnye-tendencii-v-regionah/rubrics/1768                              Более подробную информацию можно получить по телефону: +7 (7172) 77 52 10 e-mail: press@nationalbank.kz  www.nationalbank.kz               ",2022-06-16,2022,6
3,Доклад НБ РК на пленарном заседании Сената Парламента РК по рассмотрению отчетов Правительства Республики Казахстан и Счетного комитета по контролю за исполнением республиканского бюджета «Об исполнении республиканского бюджета за 2021 год»,"            Доклад НБ РК   на пленарном заседании Сената Парламента РК по рассмотрению отчетов Правительства Республики Казахстан и Счетного комитета по контролю за исполнением республиканского бюджета «Об исполнении республиканского бюджета за 2021 год»          Нур-Султан, 16 июня 2022 года  6,1%. 2  Уважаемый Маулен Сагатханұлы! Уважаемые депутаты!   В  2021  году  мировая  экономика  восстановилась  к допандемическому уровню. Рост глобального ВВП в 2021 году  стал  самым  быстрым  за  более  чем  40  лет,  составив Экономика  Казахстана  выросла  в  2021  году  на  4,1%, также восстановившись к допандемическому уровню.  На  фоне  быстрого  восстановления  мировой  экономики, повлекшего  избыточный  спрос,  цены  на  сырье,  материалы  и продовольствие  достигли  максимумов,  это  в  совокупности  с энергетическим  кризисом  привело  к  рекордной  инфляции  во многих странах мира.  Внешний  инфляционный  фон  нарастал  в  условиях быстрого  восстановления  мировой  экономики  над возможностями предложения за счет массовой вакцинации  и  ослабления  ограничений,  повышенной глобальной  деловой  активности  и  проведения  масштабных антикризисных мер.  Наряду с внешними  факторами внутренние дисбалансы  на  отдельных  товарных  рынках  усилили инфляционное  давление  в  стране.  Несмотря  на  то,  что  в первой  половине  2021  года  инфляционные  процессы  имели тенденцию  к  стабилизации,  с  середины  года  инфляция начала  ускоряться  на  фоне  общего  мирового  тренда 3  повышения  цен  на  продовольствие,  сырье  и  материалы. Внутренними проинфляционными триггерами стали дисбалансы  на  рынке  овощей  в  летний  период,  рост  цен  на ГСМ и регулируемые услуги. В  этих  условиях  Национальным  Банком  совместно  с Правительством  в  соответствии  с  поручением главы государства были приняты меры по удержанию инфляции в пределах 8,5%.  ДЕНЕЖНО-КРЕДИТНАЯ ПОЛИТИКА В среде  нарастания  внешнего  и  внутреннего инфляционного давления с середины 2021 года Национальный Банк приступил к проведению дезинфляционной  денежно-кредитной  политики,  трижды повысив базовую ставку суммарно на 75 б.п., до 9,75%.  Правительством  совместно  с  Национальным  Банком  в сентябре  прошлого  года  начата  реализация  «Комплекса  мер антиинфляционного  реагирования  на  2021-2024 годы», направленного  в  первую  очередь  на стабилизацию немонетарных факторов инфляции. В  результате  по  итогам  2021 года  инфляция замедлилась до 8,4%.  Основной вклад в инфляцию внесли продовольственные товары,  которые  по  итогам  года  выросли  на  9,9%  на  фоне дисбалансов на отдельных потребительских рынках и роста мировых продовольственных цен.  В  т.г.  году  инфляционное  давление  усилилось  из-за 4  реализации геополитического кризиса, за которым последовало  ослабление  обменного  курса  тенге  в феврале-марте,  а  также  ажиотажная  потребительская активность  из-за  повышенной  неопределенности.  Как следствие  инфляция  выросла  с  8,7%  в  феврале  до  14%  в мае. Наибольший  вклад  продолжает  вносить  рост  цен  на продукты питания, достигший в годовом выражении 19%.  Внешний  инфляционный  фон  продолжает  оказывать повышательное  давление  на  цены  непродовольственных товаров,  рост  на  которые  ускорился  до  11,9%.    Инфляция платных услуг выросла до 9,1%, несмотря на сдерживающий эффект от введенного моратория на рост цен на регулируемые услуги. В  условиях  значительного  ухудшения  геополитической ситуации  во  внешнем  секторе  в  целях  минимизации последствий  внешнего  шока  для  экономики  страны, сохранения  стабильности  цен  и  защиты  активов  в  местной валюте  Национальный  Банк  24  февраля  2022  года  повысил базовую ставку до 13,5%. Также  совместно  с  Правительством  анонсирована Программа защиты тенговых вкладов, предусматривающая  начисление  компенсации  (премии)  по депозитам физических лиц в тенге за счет средств бюджета.  В  условиях  нарастающего  внешнего  инфляционного давления, продолжающейся стимулирующей  фискальной  политики,  устойчивого  внутреннего  и внешнего  спроса,  роста  инфляционных  ожиданий  25 5 апреля т.г. базовая ставка была повышена до 14%. Также  Национальным  Банком  принимались  меры  по ограничению  резких  колебаний  обменного  курса  и  его последующего переноса на инфляцию.  В  результате  обменный  курс  после  резких  колебаний вернулся к уровням конца прошлого года. В  результате  слаженных  действий  купировались  риски роста  долларизации,  а  финансовая  система  устойчиво абсорбировала внешние шоки. Для усиления антиинфляционной политики Правительством  совместно  с  местными  исполнительными органами  реализуется  актуализированный  «Комплекс  мер по контролю и снижению уровня инфляции  (на 2022-2024 годы)».  С  учетом  текущего  баланса  рисков  инфляции  в краткосрочной  и  среднесрочной  перспективе,  а  также обновленных  прогнозов  Национальный  Банк  6  июня  т.г. принял решение сохранить базовую ставку на уровне 14,0%. На конец 2022 года прогнозируется инфляция на уровне 13-15%.  Прогноз  сформирован  с  учетом  реализации комплекса  мер  Правительства  по  контролю  и  снижению уровня инфляции. ПЛАТЕЖНЫЙ БАЛАНС  6 В  2021  году  дефицит  текущего  счета  платежного баланса  составил  (-)5,7  млрд  долл.  США.  Сокращение отрицательного сальдо текущего счета связано с улучшением состояния торгового баланса. Профицит торгового баланса увеличился в два раза – с 10,3 млрд долл. США в 2020 году до 20,7 млрд долл. США в 2021  году.  Рост  профицита  обеспечен  ростом  экспорта По  предварительным  данным,  текущий  счет  за  первый квартал  2022  года  сложился  с  профицитом  и  составил  2,2 Переход  отрицательного  сальдо  текущего  счета  в положительную  зону  связан  с  улучшением  состояния Профицит  торгового  баланса  увеличился  на  6,3 млрд долл. США и составил 9,9 млрд долл. США. Рост профицита обеспечен опережающим темпом роста экспорта товаров над импортом  в  связи  с  продолжающимся  повышением  цен  на нефть. товаров. млрд долл. США. торгового баланса. Уважаемые депутаты!  Устойчивая глобальная инфляция в условиях постковидного восстановления мирового спроса, простимулированного  мягкой  фискальной  и  монетарной политикой,  вынуждает  правительства  и  центральные  банки 7  многих  стран  сокращать  стимулы  по  поддержке  своих экономик.  Высокий  уровень  инфляции  негативным образом отражается на качестве  экономического  роста и благосостоянии граждан. Как следствие многие центральные банки как развитых, так и развивающихся стран перешли  к  циклу  повышения  ключевых  ставок  для  снижения инфляционного  давления  и  сохранения  покупательной способности населения.  В  этой  среде  Национальный  Банк  будет  сфокусирован на  недопущении  раскручивания  инфляционной  спирали  и продолжит  реализацию  денежно-кредитной  политики  с главной  целью  –  обеспечить  ценовую  стабильность  в среднесрочной перспективе.  Благодарю за внимание! ",2022-06-16,2022,6
4,"Доклад НБ РК на заседании Правительства РК «Об итогах социально-экономического развития и исполнении республиканского бюджета за январь-май 2022 года» (г. Нур-Султан, 14 июня 2022 года)","Доклад НБ РК на заседании Правительства РК «Об итогах социально-экономического развития и исполнении республиканского бюджета за январь-май 2022 года» г. Нур-Султан, 14 июня 2022 года Уважаемый Алихан Асханович! Уважаемые коллеги!    В  мае  т.г.  на  глобальных  рынках  сохранялась волатильность. Мировая экономика продолжает функционировать  на  фоне  геополитических  рисков  и устойчиво высокой инфляции.  Центральные  банки  развитых  стран  заявляют  о твердом  намерении  бороться  с  инфляцией  и  постепенно ужесточать монетарные условия. Слайд  2. (БЕГСТВО  ОТ  РИСКА  НА  ФИНАНСОВЫХ  РЫНКАХ ПРОДОЛЖАЕТСЯ) Денежно-кредитные  условия  в  мире  ужесточаются.  В мае ФРС США, повысив ставку на 50 б.п., объявила о начале сокращения баланса с 1 июня т.г. До конца года существует вероятность  повышения  ставки  еще  на  200  б.п.,  до  3%. Ожидается  первое  повышение  ставки  ЕЦБ  в  июле  т.г. впервые с 2011 года. Быстрый рост доходности долгосрочных облигаций и ожидания более быстрого ужесточения денежно-кредитной политики в странах с развитой экономикой, особенно в США, оказывают понижательное давление на рисковые активы.  Так,  с  начала  2022  года  акции  развитых  стран  по состоянию на конец мая снизились на 13,6%, доходности 10-летних ГЦБ США выросли на 1,33%.  По  состоянию  на  14  июня  снижение  акций  развитых стран  с  начала  текущего  года  составило  21,3%  из-за опасений  более  стремительного  ужесточения  монетарной политики  ФРС  США  в  ответ  на  рекордную  за  40  лет инфляцию  в  США.  Спреды  по  облигациям  развивающихся стран увеличиваются.  Глобальная неопределенность, которая резко возросла  с  началом  конфликта  РФ  с  Украиной,  остается  на высоком  уровне.  На  фоне  напряженной  геополитической ситуации прогнозы роста глобальной экономики пересматриваются вниз. Несмотря  на замедление, глобальная  деловая активность  находится  в  зоне  роста.  В  мае  Global Composite PMI незначительно вырос до 51,5 преимущественно  из-за  ослабления  карантина  в  Китае  и более быстрых темпов роста производства и новых заказов.  Стоимость  производственных  издержек  и  цены  на продукцию  растут  рекордными  темпами.  Инфляция  в развитых странах сохраняется на рекордном уровне.  Слайд  3 (ИНФЛЯЦИЯ  В  КАЗАХСТАНЕ  ОСТАЕТСЯ  ВЫСОКОЙ,  НЕСМОТРЯ НА ПЕРВЫЕ ПРИЗНАКИ СТАБИЛИЗАЦИИ) Инфляция  в  Казахстане  в  мае  2022  года  в  годовом выражении ускорилась до 14% с 13,2% в апреле т.г. Месячная инфляция замедляется, составив в мае 1,4% 2 против  2%  в  апреле  и  3,7%  в  марте,  но  все  еще  остается высокой  и  превышает  прошлогодние  показатели  и среднегодовые значения.  Темпы  замедления  месячной  инфляции  отражают,  с одной  стороны,  устойчивый  внутренний  спрос  на  фоне положительного фискального  импульса, с другой стороны – высокие инфляционные ожидания. Наибольший  вклад  (55,3%)  продолжает  вносить  рост  цен на продукты питания, достигший в годовом выражении 19%.  Внешний  инфляционный  фон  продолжает  оказывать повышательное  давление  на  цены  непродовольственных товаров,  рост  на  которые  ускорился  с  11,1%  до  11,9%.  Инфляция платных услуг выросла с 8,9% до 9,1%, несмотря на  сдерживающий  эффект  от  введенного  моратория  на  рост цен на регулируемые услуги. На  конец  2022  года  Национальный  Банк  прогнозирует инфляцию на уровне 13-15%. Прогноз сформирован с учетом реализации комплекса мер Правительства по контролю и снижению  уровня  инфляции,  который  фокусируется  на сбалансированном  развитии  потребительских  рынков.  При успешной  реализации  данного  комплекса  мер  инфляция может снизиться до нижней границы прогноза. Ожидается  некоторое ускорение  роста  цен  на непродовольственные товары, который будет сдерживаться регулируемым ростом цен на ГСМ. Инфляция платных  услуг  будет  замедляться  на  фоне  высокой  базы 3 2021 года.  Отмечаем риски удорожания цен на регулируемые  коммунальные  услуги  после  завершения моратория на их повышение, а также рост цен на рыночные услуги на фоне повышенных инфляционных ожиданий. В  2023  году  инфляция  постепенно  замедлится  до  7,5-9,5%  с  учетом  принимаемых  мер  в  области  денежно-кредитной  политики,  постепенного  снижения  внешнего инфляционного  давления  и  планируемого  к  реализации контрциклического бюджетного правила.  C  учетом  текущего  баланса  рисков  6  июня  т.г.  НБ  РК сохранил  базовую  ставку  на  уровне  14%.  При  отсутствии новых  шоков  сохранение  текущего  уровня  базовой  ставки окажет  сдерживающее  воздействие  на  рост  цен  в среднесрочной перспективе. Слайд 4 (УКРЕПЛЕНИЕ КУРСА НА ФОНЕ НАЛОГОВОГО ПЕРИОДА) В мае, несмотря на продолжающуюся неопределенность и  волатильность  на  глобальных  финансовых  рынках,  курс тенге  укрепился  до  415,16  тенге  за  доллар  США,  или  на 6,8%. Укрепление  национальной  валюты связано с высокими  рыночными  ценами  на  нефть  и  газ  и налоговыми выплатами экспортеров, изменением сентимента  участников  рынка  в  связи  со  снижением  спроса на  иностранную  валюту  со  стороны  физических  лиц, укреплением курса российского рубля. Предложение  на  валютном  рынке  дополнительно 4 поддерживалось  за  счет  продажи  валютной  выручки субъектами квазигосударственного сектора, объем которой в мае составил порядка 598 млн долл. США. На фоне периода крупных налоговых платежей в бюджет и соответствующей необходимости продажи валюты предложение  иностранной  валюты  превышало  спрос.  С целью поддержания ликвидности и нивелирования сложившегося  дисбаланса  между  спросом  и  предложением иностранной валюты в период налоговой недели Национальный  Банк  осуществил  покупку  избыточного предложения иностранной валюты на сумму 110,5 млн долл. США. Для  выделения  трансфертов  из  Национального  фонда в  республиканский  бюджет  в  начале  месяца  было  продано  4 млн  долл.  США.  В  дальнейшем  конвертаций  валютных средств  Национального  фонда  не  потребовалось  в  связи  с тем,  что  трансферты  обеспечивались  за  счет  поступлений  в Национальный фонд. В  целях  поддержания  валютной  доли  пенсионных активов  на  уровне  не  менее  30%  для  диверсификации инвестиционного  портфеля  в  мае  для  ЕНПФ  было  куплено 74,5 млн долл. США на валютном рынке. В  краткосрочной  перспективе  волатильность  тенге будет зависеть от изменения геополитической обстановки, ожиданий внутренних участников и ситуации на мировых рынках.  Национальный  Банк  продолжит  придерживаться 5 режима  гибкого  курсообразования,  который  исключает накапливание  дисбалансов  и  обеспечивает  сохранность золотовалютных резервов. Слайд 5 (ДИНАМИКА МЕЖДУНАРОДНЫХ РЕЗЕРВОВ) Валовые  международные  резервы  на  конец  мая  т.г. составили 86,5 млрд долл. США. Золотовалютные  активы  НБ  РК  составили  32,8  млрд долл.  США,  снизившись  с  начала  года  на  1,6  млрд  долл. США  за  счет  валютных  интервенций,  снижения  остатков на счетах БВУ и выплат по внешнему долгу. Активы  Национального  фонда  составили  53,8  млрд долл. США. Для выделения трансфертов в республиканский бюджет  на  сумму  1,9  трлн  тенге  за  5  месяцев  т.г.  было продано валютных активов на 2,3 млрд долл. США. На  фоне значительного  роста  цены  на  нефть поступления  в  Нацфонд  с  начала  года  составили  2,9  трлн тенге,  увеличившись  почти  в  3,5  раза  по  отношению  к аналогичному периоду прошлого года. Среднегодовая  доходность  Нацфонда  с  начала создания по 31 мая 2022 года составляет  3,24%. Доходность за  последние  5  и  10  лет  в  годовом  выражении  составила 2,30% и 1,75% соответственно. Слайд 6 (ПЕНСИОННЫЕ АКТИВЫ ЕНПФ) Пенсионные  активы  ЕНПФ  составили  12,7  трлн  тенге. Объем  инвестиционного  дохода  с  начала  т.г.  составил отрицательное  значение  –  154,1  млрд  тенге,  пенсионных взносов  –  662,5  млрд  тенге,  пенсионных  выплат  –  106,8 6 млрд тенге. Основной причиной начисления вкладчикам отрицательного  инвестиционного  дохода  стало  снижение рыночной стоимости по большинству  финансовых инструментов, связанное с нестабильностью на финансовых  рынках,  а  также  укрепление  курса  тенге  за  5 месяцев. Доходность  пенсионных  активов  за  последние  12 месяцев  составила  4,1%.  При  этом  с  точки  зрения устойчивости накопительной пенсионной системы целесообразно  рассматривать  показатели  доходности  и инфляции на длительном горизонте времени. Так, например, накопленная  доходность  пенсионных  активов  за  5  лет составила 53% при накопленной инфляции 46,2%. Национальный  Банк  в  режиме  реального  времени отслеживает  развитие  ситуации  и  ее  влияние  на  рынки, оценивает  степень  влияния  санкций  на  финансовую систему  Казахстана  и  продолжит  принимать  меры  для обеспечения ценовой и финансовой стабильности. Благодарю за внимание! **** 7 ",2022-06-14,2022,6
